step,time_hr,pressure_abs_error_psia,pzr_level_abs_error_pct,primary_mass_abs_error_lb
1,0.00277777785,0,0,0
2,0.00555555569,0,0,0
3,0.008333334,0,0,0
4,0.0111111114,0,0,0
5,0.013888889,0,0,0
6,0.0166666675,0,0,0
7,0.0194444451,0,0,0
8,0.0222222228,0,0,0
9,0.025,0,0,0
10,0.027777778,0,0,0
11,0.0305555556,0,0,0
12,0.0333333351,0,0,0
13,0.0361111127,0,0,0
14,0.03888889,0,0,0
15,0.0416666679,0,0,0
16,0.0444444455,0,0,0
17,0.0472222231,0,0,0
18,0.05,0,0,0
19,0.05277778,0,0,0
20,0.055555556,0,0,0
21,0.0583333336,0,0,0
22,0.06111111,0,0,0
23,0.06388889,0,0,0
24,0.06666667,0,0,0
25,0.06944445,0,0,0
26,0.0722222254,0,0,0
27,0.075,0,0,0
28,0.07777778,0,0,0
29,0.08055556,0,0,0
30,0.0833333358,0,0,0
31,0.08611111,0,0,0
32,0.08888889,0,0,0
33,0.09166667,0,0,0
34,0.0944444463,0,0,0
35,0.0972222239,0,0,0
36,0.1,0,0,0
37,0.102777779,0,0,0
38,0.105555557,0,0,0
39,0.108333334,0,0,0
40,0.111111112,0,0,0
41,0.11388889,0,0,0
42,0.116666667,0,0,0
43,0.119444445,0,0,0
44,0.122222222,0,0,0
45,0.125,0,0,0
46,0.127777785,0,0,0
47,0.13055557,0,0,0
48,0.133333355,0,0,0
49,0.13611114,0,0,0
50,0.138888925,0,0,0
51,0.14166671,0,0,0
52,0.1444445,0,0,0
53,0.147222281,0,0,0
54,0.150000066,0,0,0
55,0.152777851,0,0,0
56,0.155555636,0,0,0
57,0.158333421,0,0,0
58,0.1611112,0,0,0
59,0.163888991,0,0,0
60,0.166666776,0,0,0
61,0.169444561,0,0,0
62,0.172222346,0,0,0
63,0.175000131,0,0,0
64,0.177777916,0,0,0
65,0.1805557,0,0,0
66,0.183333486,0,0,0
67,0.186111271,0,0,0
68,0.188889056,0,0,0
69,0.191666842,0,0,0
70,0.194444627,0,0,0
71,0.197222412,0,0,0
72,0.2000002,0,0,0
73,0.202777982,0,0,0
74,0.205555767,0,0,0
75,0.208333552,0,0,0
76,0.211111337,0,0,0
77,0.213889122,0,0,0
78,0.2166669,0,0,0
79,0.219444692,0,0,0
80,0.222222477,0,0,0
81,0.225000262,0,0,0
82,0.227778047,0,0,0
83,0.230555832,0,0,0
84,0.233333617,0,0,0
85,0.2361114,0,0,0
86,0.238889188,0,0,0
87,0.241666973,0,0,0
88,0.244444758,0,0,0
89,0.247222543,0,0,0
90,0.250000328,0,0,0
91,0.2527781,0,0,0
92,0.2555559,0,0,0
93,0.258333683,0,0,0
94,0.261111468,0,0,0
95,0.263889253,0,0,0
96,0.266667038,0,0,0
97,0.269444823,0,0,0
98,0.2722226,0,0,0
99,0.2750004,0,0,0
100,0.277778178,0,0,0
101,0.280555964,0,0,0
102,0.283333749,0,0,0
103,0.286111534,0,0,0
104,0.288889319,0,0,0
105,0.2916671,0,0,0
106,0.2944449,0,0,0
107,0.297222674,0,0,0
108,0.300000459,0,0,0
109,0.302778244,0,0,0
110,0.305556029,0,0,0
111,0.3083338,0,0,0
112,0.3111116,0,0,0
113,0.313889384,0,0,0
114,0.316667169,0,0,0
115,0.319444954,0,0,0
116,0.322222739,0,0,0
117,0.325000525,0,0,0
118,0.3277783,0,0,0
119,0.3305561,0,0,0
120,0.33333388,0,0,0
121,0.336111665,0,0,0
122,0.33888945,0,0,0
123,0.341667235,0,0,0
124,0.34444502,0,0,0
125,0.3472228,0,0,0
126,0.3500006,0,0,0
127,0.352778375,0,0,0
128,0.35555616,0,0,0
129,0.358333945,0,0,0
130,0.36111173,0,0,0
131,0.363889515,0,0,0
132,0.3666673,0,0,0
133,0.3694451,0,0,0
134,0.372222871,0,0,0
135,0.375000656,0,0,0
136,0.377778441,0,0,0
137,0.380556226,0,0,0
138,0.383334,0,0,0
139,0.3861118,0,0,0
140,0.388889581,0,0,0
141,0.391667366,0,0,0
142,0.394445151,0,0,0
143,0.397222936,0,0,0
144,0.400000721,0,0,0
145,0.4027785,0,0,0
146,0.4055563,0,0,0
147,0.408334076,0,0,0
148,0.411111861,0,0,0
149,0.413889647,0,0,0
150,0.416667432,0,0,0
151,0.419445217,0,0,0
152,0.422223,0,0,0
153,0.4250008,0,0,0
154,0.427778572,0,0,0
155,0.430556357,0,0,0
156,0.433334142,0,0,0
157,0.436111927,0,0,0
158,0.4388897,0,0,0
159,0.4416675,0,0,0
160,0.444445282,0,0,0
161,0.447223067,0,0,0
162,0.450000852,0,0,0
163,0.452778637,0,0,0
164,0.455556422,0,0,0
165,0.4583342,0,0,0
166,0.461112,0,0,0
167,0.463889778,0,0,0
168,0.466667563,0,0,0
169,0.469445348,0,0,0
170,0.472223133,0,0,0
171,0.475000918,0,0,0
172,0.4777787,0,0,0
173,0.4805565,0,0,0
174,0.483334273,0,0,0
175,0.486112058,0,0,0
176,0.488889843,0,0,0
177,0.491667628,0,0,0
178,0.4944454,0,0,0
179,0.4972232,0,0,0
180,0.500000954,0,0,0
181,0.5027787,0,0,0
182,0.505556464,0,0,0
183,0.5083342,0,0,0
184,0.511112,0,0,0
185,0.51388973,0,0,0
186,0.5166675,0,0,0
187,0.51944524,0,0,0
188,0.522223,0,0,0
189,0.525000751,0,0,0
190,0.5277785,0,0,0
191,0.530556262,0,0,0
192,0.533334,0,0,0
193,0.5361118,0,0,0
194,0.5388895,0,0,0
195,0.5416673,0,0,0
196,0.544445038,0,0,0
197,0.5472228,0,0,0
198,0.550000548,0,0,0
199,0.5527783,0,0,0
200,0.555556059,0,0,0
201,0.5583338,0,0,0
202,0.561111569,0,0,0
203,0.5638893,0,0,0
204,0.5666671,0,0,0
205,0.569444835,0,0,0
206,0.5722226,0,0,0
207,0.575000346,0,0,0
208,0.5777781,0,0,0
209,0.580555856,0,0,0
210,0.5833336,0,0,0
211,0.586111367,0,0,0
212,0.5888891,0,0,0
213,0.5916669,0,0,0
214,0.594444633,0,0,0
215,0.5972224,0,0,0
216,0.600000143,0,0,0
217,0.6027779,0,0,0
218,0.605555654,0,0,0
219,0.6083334,0,0,0
220,0.611111164,0,0,0
221,0.6138889,0,0,0
222,0.6166667,0,0,0
223,0.61944443,0,0,0
224,0.6222222,0,0,0
225,0.62499994,0,0,0
226,0.6277777,0,0,0
227,0.630555451,0,0,0
228,0.6333332,0,0,0
229,0.636110961,0,0,0
230,0.6388887,0,0,0
231,0.6416665,0,0,0
232,0.6444442,0,0,0
233,0.647222,0,0,0
234,0.649999738,0,0,0
235,0.6527775,0,0,0
236,0.655555248,0,0,0
237,0.658333,0,0,0
238,0.661110759,0,0,0
239,0.6638885,0,0,0
240,0.666666269,0,0,0
241,0.669444,0,0,0
242,0.6722218,0,0,0
243,0.674999535,0,0,0
244,0.6777773,0,0,0
245,0.680555046,0,0,0
246,0.6833328,0,0,0
247,0.686110556,0,0,0
248,0.6888883,0,0,0
249,0.691666067,0,0,0
250,0.6944438,0,0,0
251,0.6972216,0,0,0
252,0.699999332,0,0,0
253,0.7027771,0,0,0
254,0.705554843,0,0,0
255,0.7083326,0,0,0
256,0.711110353,0,0,0
257,0.7138881,0,0,0
258,0.716665864,0,0,0
259,0.7194436,0,0,0
260,0.7222214,0,0,0
261,0.7249991,0,0,0
262,0.7277769,0,0,0
263,0.73055464,0,0,0
264,0.7333324,0,0,0
265,0.736110151,0,0,0
266,0.7388879,0,0,0
267,0.741665661,0,0,0
268,0.7444434,0,0,0
269,0.7472212,0,0,0
270,0.7499989,0,0,0
271,0.7527767,0,0,0
272,0.755554438,0,0,0
273,0.7583322,0,0,0
274,0.761109948,0,0,0
275,0.7638877,0,0,0
276,0.766665459,0,0,0
277,0.7694432,0,0,0
278,0.772220969,0,0,0
279,0.7749987,0,0,0
280,0.7777765,0,0,0
281,0.780554235,0,0,0
282,0.783332,0,0,0
283,0.786109746,0,0,0
284,0.7888875,0,0,0
285,0.791665256,0,0,0
286,0.794443,0,0,0
287,0.797220767,0,0,0
288,0.7999985,0,0,0
289,0.8027763,0,0,0
290,0.805554032,0,0,0
291,0.8083318,0,0,0
292,0.811109543,0,0,0
293,0.8138873,0,0,0
294,0.816665053,0,0,0
295,0.8194428,0,0,0
296,0.822220564,0,0,0
297,0.8249983,0,0,0
298,0.8277761,0,0,0
299,0.8305538,0,0,0
300,0.8333316,0,0,0
301,0.83610934,0,0,0
302,0.8388871,0,0,0
303,0.841664851,0,0,0
304,0.8444426,0,0,0
305,0.847220361,0,0,0
306,0.8499981,0,0,0
307,0.8527759,0,0,0
308,0.8555536,0,0,0
309,0.8583314,0,0,0
310,0.861109138,0,0,0
311,0.8638869,0,0,0
312,0.866664648,0,0,0
313,0.8694424,0,0,0
314,0.872220159,0,0,0
315,0.8749979,0,0,0
316,0.877775669,0,0,0
317,0.8805534,0,0,0
318,0.8833312,0,0,0
319,0.886108935,0,0,0
320,0.8888867,0,0,0
321,0.891664445,0,0,0
322,0.8944422,0,0,0
323,0.897219956,0,0,0
324,0.8999977,0,0,0
325,0.902775466,0,0,0
326,0.9055532,0,0,0
327,0.908331,0,0,0
328,0.911108732,0,0,0
329,0.9138865,0,0,0
330,0.916664243,0,0,0
331,0.919442,0,0,0
332,0.922219753,0,0,0
333,0.9249975,0,0,0
334,0.927775264,0,0,0
335,0.930553,0,0,0
336,0.9333308,0,0,0
337,0.9361085,0,0,0
338,0.9388863,0,0,0
339,0.94166404,0,0,0
340,0.9444418,0,0,0
341,0.947219551,0,0,0
342,0.9499973,0,0,0
343,0.952775061,0,0,0
344,0.9555528,0,0,0
345,0.9583306,0,0,0
346,0.9611083,0,0,0
347,0.9638861,0,0,0
348,0.966663837,0,0,0
349,0.9694416,0,0,0
350,0.972219348,0,0,0
351,0.9749971,0,0,0
352,0.977774858,0,0,0
353,0.9805526,0,0,0
354,0.983330369,0,0,0
355,0.9861081,0,0,0
356,0.9888859,0,0,0
357,0.991663635,0,0,0
358,0.9944414,0,0,0
359,0.997219145,0,0,0
360,0.9999969,0,0,0
