step,time_hr,heater_legacy_mw,heater_ledger_mw,heater_abs_error_mw,ledger_event_count,unledgered_mutation,unledgered_reason
1,0.00277777785,0,0,0,3,False,""
2,0.00555555569,0,0,0,3,False,""
3,0.008333334,1.794,1.794,0,4,False,""
4,0.0111111114,1.794,1.794,0,4,False,""
5,0.013888889,1.76410007,1.76410007,0,4,False,""
6,0.0166666675,1.73420012,1.73420012,0,4,False,""
7,0.0194444451,1.70430017,1.70430017,0,4,False,""
8,0.0222222228,1.67440009,1.67440009,0,4,False,""
9,0.025,1.64450014,1.64450014,0,4,False,""
10,0.027777778,1.61460018,1.61460018,0,4,False,""
11,0.0305555556,1.58470023,1.58470023,0,4,False,""
12,0.0333333351,1.55480027,1.55480027,0,4,False,""
13,0.0361111127,1.52490032,1.52490032,0,4,False,""
14,0.03888889,1.49500036,1.49500036,0,4,False,""
15,0.0416666679,1.46510029,1.46510029,0,4,False,""
16,0.0444444455,1.43520033,1.43520033,0,4,False,""
17,0.0472222231,1.40530038,1.40530038,0,4,False,""
18,0.05,1.37540042,1.37540042,0,4,False,""
19,0.05277778,1.34550047,1.34550047,0,4,False,""
20,0.055555556,1.31560051,1.31560051,0,4,False,""
21,0.0583333336,1.28570056,1.28570056,0,4,False,""
22,0.06111111,1.25580049,1.25580049,0,4,False,""
23,0.06388889,1.22590053,1.22590053,0,4,False,""
24,0.06666667,1.19600058,1.19600058,0,4,False,""
25,0.06944445,1.16610062,1.16610062,0,4,False,""
26,0.0722222254,1.13620067,1.13620067,0,4,False,""
27,0.075,1.10630071,1.10630071,0,4,False,""
28,0.07777778,1.07640076,1.07640076,0,4,False,""
29,0.08055556,1.04650068,1.04650068,0,4,False,""
30,0.0833333358,1.01660073,1.01660073,0,4,False,""
31,0.08611111,0.9867008,0.9867008,0,4,False,""
32,0.08888889,0.9568008,0.9568008,0,4,False,""
33,0.09166667,0.926900864,0.926900864,0,4,False,""
34,0.0944444463,0.897000849,0.897000849,0,4,False,""
35,0.0972222239,0.867100835,0.867100835,0,4,False,""
36,0.1,0.8372008,0.8372008,0,4,False,""
37,0.102777779,0.8073008,0.8073008,0,4,False,""
38,0.105555557,0.7774008,0.7774008,0,4,False,""
39,0.108333334,0.7475007,0.7475007,0,4,False,""
40,0.111111112,0.7176007,0.7176007,0,4,False,""
41,0.11388889,0.6877007,0.6877007,0,4,False,""
42,0.116666667,0.6578007,0.6578007,0,4,False,""
43,0.119444445,0.62790066,0.62790066,0,4,False,""
44,0.122222222,0.5980006,0.5980006,0,4,False,""
45,0.125,0.5681006,0.5681006,0,4,False,""
46,0.127777785,0.538200557,0.538200557,0,4,False,""
47,0.13055557,0.508300543,0.508300543,0,4,False,""
48,0.133333355,0.478400528,0.478400528,0,4,False,""
49,0.13611114,0.448500484,0.448500484,0,4,False,""
50,0.138888925,0.4186005,0.4186005,0,4,False,""
51,0.14166671,0.3887005,0.3887005,0,4,False,""
52,0.1444445,0.399204433,0.399204433,0,4,False,""
53,0.147222281,0.427093327,0.427093327,0,4,False,""
54,0.150000066,0.422067434,0.422067434,0,4,False,""
55,0.152777851,0.4230529,0.4230529,0,4,False,""
56,0.155555636,0.422757238,0.422757238,0,4,False,""
57,0.158333421,0.4226587,0.4226587,0,4,False,""
58,0.1611112,0.422757238,0.422757238,0,4,False,""
59,0.163888991,0.4226587,0.4226587,0,4,False,""
60,0.166666776,0.4228558,0.4228558,0,4,False,""
61,0.169444561,0.422560155,0.422560155,0,4,False,""
62,0.172222346,0.4226587,0.4226587,0,4,False,""
63,0.175000131,0.422560155,0.422560155,0,4,False,""
64,0.177777916,0.4226587,0.4226587,0,4,False,""
65,0.1805557,0.422560155,0.422560155,0,4,False,""
66,0.183333486,0.4224616,0.4224616,0,4,False,""
67,0.186111271,0.422363073,0.422363073,0,4,False,""
68,0.188889056,0.422560155,0.422560155,0,4,False,""
69,0.191666842,0.4224616,0.4224616,0,4,False,""
70,0.194444627,0.422363073,0.422363073,0,4,False,""
71,0.197222412,0.4224616,0.4224616,0,4,False,""
72,0.2000002,0.422363073,0.422363073,0,4,False,""
73,0.202777982,0.4222645,0.4222645,0,4,False,""
74,0.205555767,0.42216596,0.42216596,0,4,False,""
75,0.208333552,0.4222645,0.4222645,0,4,False,""
76,0.211111337,0.42216596,0.42216596,0,4,False,""
77,0.213889122,0.422363073,0.422363073,0,4,False,""
78,0.2166669,0.421968848,0.421968848,0,4,False,""
79,0.219444692,0.42216596,0.42216596,0,4,False,""
80,0.222222477,0.4222645,0.4222645,0,4,False,""
81,0.225000262,0.421968848,0.421968848,0,4,False,""
82,0.227778047,0.422067434,0.422067434,0,4,False,""
83,0.230555832,0.421968848,0.421968848,0,4,False,""
84,0.233333617,0.422067434,0.422067434,0,4,False,""
85,0.2361114,0.422067434,0.422067434,0,4,False,""
86,0.238889188,0.421968848,0.421968848,0,4,False,""
87,0.241666973,0.421870321,0.421870321,0,4,False,""
88,0.244444758,0.421968848,0.421968848,0,4,False,""
89,0.247222543,0.421870321,0.421870321,0,4,False,""
90,0.250000328,0.421771765,0.421771765,0,4,False,""
91,0.2527781,0.421870321,0.421870321,0,4,False,""
92,0.2555559,0.421771765,0.421771765,0,4,False,""
93,0.258333683,0.421673238,0.421673238,0,4,False,""
94,0.261111468,0.421870321,0.421870321,0,4,False,""
95,0.263889253,0.421476126,0.421476126,0,4,False,""
96,0.266667038,0.421870321,0.421870321,0,4,False,""
97,0.269444823,0.421574682,0.421574682,0,4,False,""
98,0.2722226,0.421673238,0.421673238,0,4,False,""
99,0.2750004,0.421574682,0.421574682,0,4,False,""
100,0.277778178,0.421476126,0.421476126,0,4,False,""
101,0.280555964,0.421673238,0.421673238,0,4,False,""
102,0.283333749,0.421279,0.421279,0,4,False,""
103,0.286111534,0.421673238,0.421673238,0,4,False,""
104,0.288889319,0.4213776,0.4213776,0,4,False,""
105,0.2916671,0.421476126,0.421476126,0,4,False,""
106,0.2944449,0.4213776,0.4213776,0,4,False,""
107,0.297222674,0.421279,0.421279,0,4,False,""
108,0.300000459,0.4213776,0.4213776,0,4,False,""
109,0.302778244,0.421279,0.421279,0,4,False,""
110,0.305556029,0.4211805,0.4211805,0,4,False,""
111,0.3083338,0.4213776,0.4213776,0,4,False,""
112,0.3111116,0.421279,0.421279,0,4,False,""
113,0.313889384,0.4211805,0.4211805,0,4,False,""
114,0.316667169,0.42108196,0.42108196,0,4,False,""
115,0.319444954,0.4211805,0.4211805,0,4,False,""
116,0.322222739,0.42108196,0.42108196,0,4,False,""
117,0.325000525,0.420983374,0.420983374,0,4,False,""
118,0.3277783,0.4211805,0.4211805,0,4,False,""
119,0.3305561,0.42108196,0.42108196,0,4,False,""
120,0.33333388,0.420983374,0.420983374,0,4,False,""
121,0.336111665,0.420884848,0.420884848,0,4,False,""
122,0.33888945,0.420983374,0.420983374,0,4,False,""
123,0.341667235,0.420884848,0.420884848,0,4,False,""
124,0.34444502,0.4207863,0.4207863,0,4,False,""
125,0.3472228,0.420884848,0.420884848,0,4,False,""
126,0.3500006,0.420884848,0.420884848,0,4,False,""
127,0.352778375,0.4207863,0.4207863,0,4,False,""
128,0.35555616,0.420884848,0.420884848,0,4,False,""
129,0.358333945,0.4205892,0.4205892,0,4,False,""
130,0.36111173,0.420687765,0.420687765,0,4,False,""
131,0.363889515,0.4207863,0.4207863,0,4,False,""
132,0.3666673,0.420687765,0.420687765,0,4,False,""
133,0.3694451,0.4205892,0.4205892,0,4,False,""
134,0.372222871,0.420490652,0.420490652,0,4,False,""
135,0.375000656,0.420687765,0.420687765,0,4,False,""
136,0.377778441,0.4205892,0.4205892,0,4,False,""
137,0.380556226,0.420490652,0.420490652,0,4,False,""
138,0.383334,0.4205892,0.4205892,0,4,False,""
139,0.3861118,0.420490652,0.420490652,0,4,False,""
140,0.388889581,0.420392126,0.420392126,0,4,False,""
141,0.391667366,0.42029354,0.42029354,0,4,False,""
142,0.394445151,0.420490652,0.420490652,0,4,False,""
143,0.397222936,0.420392126,0.420392126,0,4,False,""
144,0.400000721,0.42029354,0.42029354,0,4,False,""
145,0.4027785,0.420392126,0.420392126,0,4,False,""
146,0.4055563,0.42029354,0.42029354,0,4,False,""
147,0.408334076,0.420195,0.420195,0,4,False,""
148,0.411111861,0.420392126,0.420392126,0,4,False,""
149,0.413889647,0.4199979,0.4199979,0,4,False,""
150,0.416667432,0.420195,0.420195,0,4,False,""
151,0.419445217,0.4200965,0.4200965,0,4,False,""
152,0.422223,0.420195,0.420195,0,4,False,""
153,0.4250008,0.4200965,0.4200965,0,4,False,""
154,0.427778572,0.4199979,0.4199979,0,4,False,""
155,0.430556357,0.420195,0.420195,0,4,False,""
156,0.433334142,0.419800818,0.419800818,0,4,False,""
157,0.436111927,0.420195,0.420195,0,4,False,""
158,0.4388897,0.419899374,0.419899374,0,4,False,""
159,0.4416675,0.4199979,0.4199979,0,4,False,""
160,0.444445282,0.419899374,0.419899374,0,4,False,""
161,0.447223067,0.419800818,0.419800818,0,4,False,""
162,0.450000852,0.419899374,0.419899374,0,4,False,""
163,0.452778637,0.419800818,0.419800818,0,4,False,""
164,0.455556422,0.419800818,0.419800818,0,4,False,""
165,0.4583342,0.4197023,0.4197023,0,4,False,""
166,0.461112,0.419800818,0.419800818,0,4,False,""
167,0.463889778,0.4197023,0.4197023,0,4,False,""
168,0.466667563,0.419603735,0.419603735,0,4,False,""
169,0.469445348,0.4197023,0.4197023,0,4,False,""
170,0.472223133,0.419603735,0.419603735,0,4,False,""
171,0.475000918,0.419505179,0.419505179,0,4,False,""
172,0.4777787,0.4197023,0.4197023,0,4,False,""
173,0.4805565,0.419603735,0.419603735,0,4,False,""
174,0.483334273,0.419505179,0.419505179,0,4,False,""
175,0.486112058,0.419406652,0.419406652,0,4,False,""
176,0.488889843,0.419505179,0.419505179,0,4,False,""
177,0.491667628,0.419406652,0.419406652,0,4,False,""
178,0.4944454,0.419308066,0.419308066,0,4,False,""
179,0.4972232,0.419505179,0.419505179,0,4,False,""
180,0.500000954,0.419406652,0.419406652,0,4,False,""
181,0.5027787,0.419308066,0.419308066,0,4,False,""
182,0.505556464,0.41920954,0.41920954,0,4,False,""
183,0.5083342,0.419308066,0.419308066,0,4,False,""
184,0.511112,0.41920954,0.41920954,0,4,False,""
185,0.51388973,0.419111,0.419111,0,4,False,""
186,0.5166675,0.419308066,0.419308066,0,4,False,""
187,0.51944524,0.41920954,0.41920954,0,4,False,""
188,0.522223,0.419111,0.419111,0,4,False,""
189,0.525000751,0.419012427,0.419012427,0,4,False,""
190,0.5277785,0.419111,0.419111,0,4,False,""
191,0.530556262,0.419012427,0.419012427,0,4,False,""
192,0.533334,0.41920954,0.41920954,0,4,False,""
193,0.5361118,0.418815345,0.418815345,0,4,False,""
194,0.5388895,0.419012427,0.419012427,0,4,False,""
195,0.5416673,0.4189139,0.4189139,0,4,False,""
196,0.544445038,0.419012427,0.419012427,0,4,False,""
197,0.5472228,0.4189139,0.4189139,0,4,False,""
198,0.550000548,0.418815345,0.418815345,0,4,False,""
199,0.5527783,0.418716818,0.418716818,0,4,False,""
200,0.555556059,0.4189139,0.4189139,0,4,False,""
201,0.5583338,0.418815345,0.418815345,0,4,False,""
202,0.561111569,0.418716818,0.418716818,0,4,False,""
203,0.5638893,0.418815345,0.418815345,0,4,False,""
204,0.5666671,0.418716818,0.418716818,0,4,False,""
205,0.569444835,0.418618262,0.418618262,0,4,False,""
206,0.5722226,0.4185197,0.4185197,0,4,False,""
207,0.575000346,0.418716818,0.418716818,0,4,False,""
208,0.5777781,0.418421179,0.418421179,0,4,False,""
209,0.580555856,0.418716818,0.418716818,0,4,False,""
210,0.5833336,0.418618262,0.418618262,0,4,False,""
211,0.586111367,0.4185197,0.4185197,0,4,False,""
212,0.5888891,0.418421179,0.418421179,0,4,False,""
213,0.5916669,0.4183226,0.4183226,0,4,False,""
214,0.594444633,0.418716818,0.418716818,0,4,False,""
215,0.5972224,0.418224066,0.418224066,0,4,False,""
216,0.600000143,0.4185197,0.4185197,0,4,False,""
217,0.6027779,0.418421179,0.418421179,0,4,False,""
218,0.605555654,0.4183226,0.4183226,0,4,False,""
219,0.6083334,0.418224066,0.418224066,0,4,False,""
220,0.611111164,0.41812554,0.41812554,0,4,False,""
221,0.6138889,0.4185197,0.4185197,0,4,False,""
222,0.6166667,0.418026954,0.418026954,0,4,False,""
223,0.61944443,0.4183226,0.4183226,0,4,False,""
224,0.6222222,0.418224066,0.418224066,0,4,False,""
225,0.62499994,0.41812554,0.41812554,0,4,False,""
226,0.6277777,0.418026954,0.418026954,0,4,False,""
227,0.630555451,0.418026954,0.418026954,0,4,False,""
228,0.6333332,0.4183226,0.4183226,0,4,False,""
229,0.636110961,0.417829871,0.417829871,0,4,False,""
230,0.6388887,0.41812554,0.41812554,0,4,False,""
231,0.6416665,0.418026954,0.418026954,0,4,False,""
232,0.6444442,0.417928427,0.417928427,0,4,False,""
233,0.647222,0.417928427,0.417928427,0,4,False,""
234,0.649999738,0.417829871,0.417829871,0,4,False,""
235,0.6527775,0.417731345,0.417731345,0,4,False,""
236,0.655555248,0.418026954,0.418026954,0,4,False,""
237,0.658333,0.417928427,0.417928427,0,4,False,""
238,0.661110759,0.417928427,0.417928427,0,4,False,""
239,0.6638885,0.417829871,0.417829871,0,4,False,""
240,0.666666269,0.417731345,0.417731345,0,4,False,""
241,0.669444,0.4176328,0.4176328,0,4,False,""
242,0.6722218,0.417534232,0.417534232,0,4,False,""
243,0.674999535,0.417829871,0.417829871,0,4,False,""
244,0.6777773,0.417829871,0.417829871,0,4,False,""
245,0.680555046,0.4172386,0.4172386,0,4,False,""
246,0.6833328,0.4176328,0.4176328,0,4,False,""
247,0.686110556,0.417534232,0.417534232,0,4,False,""
248,0.6888883,0.4174357,0.4174357,0,4,False,""
249,0.691666067,0.417829871,0.417829871,0,4,False,""
250,0.6944438,0.4172386,0.4172386,0,4,False,""
251,0.6972216,0.4176328,0.4176328,0,4,False,""
252,0.699999332,0.417534232,0.417534232,0,4,False,""
253,0.7027771,0.4174357,0.4174357,0,4,False,""
254,0.705554843,0.41733712,0.41733712,0,4,False,""
255,0.7083326,0.4172386,0.4172386,0,4,False,""
256,0.711110353,0.417140067,0.417140067,0,4,False,""
257,0.7138881,0.417534232,0.417534232,0,4,False,""
258,0.716665864,0.416942954,0.416942954,0,4,False,""
259,0.7194436,0.41733712,0.41733712,0,4,False,""
260,0.7222214,0.4172386,0.4172386,0,4,False,""
261,0.7249991,0.417140067,0.417140067,0,4,False,""
262,0.7277769,0.417041481,0.417041481,0,4,False,""
263,0.73055464,0.4174357,0.4174357,0,4,False,""
264,0.7333324,0.4168444,0.4168444,0,4,False,""
265,0.736110151,0.4172386,0.4172386,0,4,False,""
266,0.7388879,0.417140067,0.417140067,0,4,False,""
267,0.741665661,0.417041481,0.417041481,0,4,False,""
268,0.7444434,0.416942954,0.416942954,0,4,False,""
269,0.7472212,0.4168444,0.4168444,0,4,False,""
270,0.7499989,0.4172386,0.4172386,0,4,False,""
271,0.7527767,0.416647315,0.416647315,0,4,False,""
272,0.755554438,0.417041481,0.417041481,0,4,False,""
273,0.7583322,0.416942954,0.416942954,0,4,False,""
274,0.761109948,0.416942954,0.416942954,0,4,False,""
275,0.7638877,0.416745871,0.416745871,0,4,False,""
276,0.766665459,0.416745871,0.416745871,0,4,False,""
277,0.7694432,0.416548759,0.416548759,0,4,False,""
278,0.772220969,0.416942954,0.416942954,0,4,False,""
279,0.7749987,0.416942954,0.416942954,0,4,False,""
280,0.7777765,0.416351646,0.416351646,0,4,False,""
281,0.780554235,0.416745871,0.416745871,0,4,False,""
282,0.783332,0.416548759,0.416548759,0,4,False,""
283,0.786109746,0.416548759,0.416548759,0,4,False,""
284,0.7888875,0.416942954,0.416942954,0,4,False,""
285,0.791665256,0.416351646,0.416351646,0,4,False,""
286,0.794443,0.416745871,0.416745871,0,4,False,""
287,0.797220767,0.4161546,0.4161546,0,4,False,""
288,0.7999985,0.416548759,0.416548759,0,4,False,""
289,0.8027763,0.416351646,0.416351646,0,4,False,""
290,0.805554032,0.416351646,0.416351646,0,4,False,""
291,0.8083318,0.416745871,0.416745871,0,4,False,""
292,0.811109543,0.4161546,0.4161546,0,4,False,""
293,0.8138873,0.416548759,0.416548759,0,4,False,""
294,0.816665053,0.415957481,0.415957481,0,4,False,""
295,0.8194428,0.416351646,0.416351646,0,4,False,""
296,0.822220564,0.4161546,0.4161546,0,4,False,""
297,0.8249983,0.4161546,0.4161546,0,4,False,""
298,0.8277761,0.416548759,0.416548759,0,4,False,""
299,0.8305538,0.415957481,0.415957481,0,4,False,""
300,0.8333316,0.416351646,0.416351646,0,4,False,""
301,0.83610934,0.4161546,0.4161546,0,4,False,""
302,0.8388871,0.4161546,0.4161546,0,4,False,""
303,0.841664851,0.415957481,0.415957481,0,4,False,""
304,0.8444426,0.415957481,0.415957481,0,4,False,""
305,0.847220361,0.416351646,0.416351646,0,4,False,""
306,0.8499981,0.415760368,0.415760368,0,4,False,""
307,0.8527759,0.4161546,0.4161546,0,4,False,""
308,0.8555536,0.415957481,0.415957481,0,4,False,""
309,0.8583314,0.415957481,0.415957481,0,4,False,""
310,0.861109138,0.415957481,0.415957481,0,4,False,""
311,0.8638869,0.415760368,0.415760368,0,4,False,""
312,0.866664648,0.415760368,0.415760368,0,4,False,""
313,0.8694424,0.4161546,0.4161546,0,4,False,""
314,0.872220159,0.4155633,0.4155633,0,4,False,""
315,0.8749979,0.415957481,0.415957481,0,4,False,""
316,0.877775669,0.415760368,0.415760368,0,4,False,""
317,0.8805534,0.415760368,0.415760368,0,4,False,""
318,0.8833312,0.4155633,0.4155633,0,4,False,""
319,0.886108935,0.4155633,0.4155633,0,4,False,""
320,0.8888867,0.415957481,0.415957481,0,4,False,""
321,0.891664445,0.415366173,0.415366173,0,4,False,""
322,0.8944422,0.415760368,0.415760368,0,4,False,""
323,0.897219956,0.4155633,0.4155633,0,4,False,""
324,0.8999977,0.4155633,0.4155633,0,4,False,""
325,0.902775466,0.415366173,0.415366173,0,4,False,""
326,0.9055532,0.415366173,0.415366173,0,4,False,""
327,0.908331,0.415760368,0.415760368,0,4,False,""
328,0.911108732,0.41516912,0.41516912,0,4,False,""
329,0.9138865,0.4155633,0.4155633,0,4,False,""
330,0.916664243,0.415366173,0.415366173,0,4,False,""
331,0.919442,0.415366173,0.415366173,0,4,False,""
332,0.922219753,0.41516912,0.41516912,0,4,False,""
333,0.9249975,0.41516912,0.41516912,0,4,False,""
334,0.927775264,0.4155633,0.4155633,0,4,False,""
335,0.930553,0.414972,0.414972,0,4,False,""
336,0.9333308,0.415366173,0.415366173,0,4,False,""
337,0.9361085,0.41516912,0.41516912,0,4,False,""
338,0.9388863,0.41516912,0.41516912,0,4,False,""
339,0.94166404,0.41516912,0.41516912,0,4,False,""
340,0.9444418,0.414972,0.414972,0,4,False,""
341,0.947219551,0.415366173,0.415366173,0,4,False,""
342,0.9499973,0.4147749,0.4147749,0,4,False,""
343,0.952775061,0.41516912,0.41516912,0,4,False,""
344,0.9555528,0.41516912,0.41516912,0,4,False,""
345,0.9583306,0.414972,0.414972,0,4,False,""
346,0.9611083,0.414972,0.414972,0,4,False,""
347,0.9638861,0.4147749,0.4147749,0,4,False,""
348,0.966663837,0.41516912,0.41516912,0,4,False,""
349,0.9694416,0.4145778,0.4145778,0,4,False,""
350,0.972219348,0.414972,0.414972,0,4,False,""
351,0.9749971,0.414972,0.414972,0,4,False,""
352,0.977774858,0.4147749,0.4147749,0,4,False,""
353,0.9805526,0.4147749,0.4147749,0,4,False,""
354,0.983330369,0.4145778,0.4145778,0,4,False,""
355,0.9861081,0.414972,0.414972,0,4,False,""
356,0.9888859,0.4143807,0.4143807,0,4,False,""
357,0.991663635,0.4147749,0.4147749,0,4,False,""
358,0.9944414,0.4147749,0.4147749,0,4,False,""
359,0.997219145,0.4145778,0.4145778,0,4,False,""
360,0.9999969,0.4145778,0.4145778,0,4,False,""
